scenario_id,index,rule,pool_size,effect,accepted,same_request_equivalent_clause_indices,marginal_exclusions,direction_swap_changes_journeys,exact_boundary_journeys,ordering_exclusions_beyond_stop_presence,unsupported_or_unreliable
pilot-09,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":34787}",256,separates,18,[],238,18,11,,False
pilot-10,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""bus""]}",64,always_false,0,[],64,,,,False
pilot-11,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[1],0,,,,False
pilot-11,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":26168}",64,always_true,64,[0],0,,9,,False
pilot-12,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""13733"",""3398""]}",64,always_true,64,[1],0,,,0,False
pilot-12,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[0],0,,,,False
pilot-13,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29520}",64,separates,20,[],29,,6,,False
pilot-13,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":32966}",64,separates,34,[],15,,7,,False
pilot-14,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[2],0,,,,False
pilot-14,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":26894}",64,separates,22,[],42,,6,,False
pilot-14,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[0],0,,,,False
pilot-15,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600}",64,separates,9,[],6,,0,,False
pilot-15,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}",64,separates,6,[],9,,0,,False
pilot-16,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}",57,separates,6,[],51,,,,False
pilot-16,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":25799}",57,always_true,57,[],0,,17,,False
pilot-17,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}",256,separates,31,[],225,49,,,False
pilot-17,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":32645}",256,always_true,256,[],0,235,41,,False
pilot-18,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27360}",64,separates,41,[],19,,7,,False
pilot-18,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":32911}",64,separates,36,[],24,,7,,False
pilot-19,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[2],0,,,,False
pilot-19,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":28586}",64,separates,45,[],19,,9,,False
pilot-19,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[0],0,,,,False
pilot-20,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7640"",""7594""]}",64,always_true,64,[1],0,,,0,False
pilot-20,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[0],0,,,,False
pilot-21,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",17,always_true,17,[1],0,,,,False
pilot-21,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":25500}",17,always_true,17,[0],0,,8,,False
pilot-22,0,"{""direction"":""return"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[1],0,0,,,False
pilot-22,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33900}",256,always_true,256,[0],0,256,256,,False
pilot-23,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600}",64,separates,10,[],2,,0,,False
pilot-23,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}",64,separates,2,[],10,,0,,False
pilot-24,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[2],0,,,,False
pilot-24,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":25958}",64,separates,14,[],50,,6,,False
pilot-24,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[0],0,,,,False
pilot-25,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""3398"",""13780""]}",64,always_true,64,[1],0,,,0,False
pilot-25,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[0],0,,,,False
pilot-26,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":25200}",51,always_true,51,[],0,,16,,False
pilot-26,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33574}",51,separates,35,[],16,,13,,False
pilot-27,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[],0,0,,,False
pilot-27,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":34800}",256,separates,35,[],221,35,35,,False
pilot-28,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""bus""]}",64,always_false,0,[],64,,,,False
pilot-29,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}",64,separates,3,[],40,,,,False
pilot-29,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":28181}",64,separates,42,[],1,,11,,False
pilot-30,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7602"",""3397""]}",64,separates,31,[],33,,,0,False
pilot-30,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[],0,,,,False
pilot-31,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":31662}",64,separates,15,[],29,,7,,False
pilot-31,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33060}",64,separates,33,[],11,,11,,False
pilot-32,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",45,always_true,45,[2],0,,,,False
pilot-32,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":28794}",45,separates,30,[],15,,13,,False
pilot-32,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",45,always_true,45,[0],0,,,,False
pilot-33,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600}",64,separates,18,[],10,,0,,False
pilot-33,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}",64,separates,10,[],18,,0,,False
pilot-34,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[],0,,,,False
pilot-34,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":31327}",64,separates,13,[],51,,3,,False
pilot-35,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[],0,0,,,False
pilot-35,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33360}",256,separates,168,[],88,168,87,,False
pilot-36,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27675}",64,separates,41,[],18,,5,,False
pilot-36,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33743}",64,separates,36,[],23,,4,,False
pilot-37,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[2],0,,,,False
pilot-37,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":32269}",64,separates,59,[],5,,1,,False
pilot-37,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[0],0,,,,False
pilot-38,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""10425"",""6235""]}",25,always_true,25,[1],0,,,0,False
pilot-38,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",25,always_true,25,[0],0,,,,False
pilot-39,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}",64,separates,3,[],15,,,,False
pilot-39,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29722}",64,separates,17,[],1,,1,,False
pilot-40,0,"{""direction"":""return"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[1],0,0,,,False
pilot-40,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33120}",256,always_true,256,[0],0,256,123,,False
pilot-41,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600}",25,separates,9,[],1,,0,,False
pilot-41,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}",25,separates,1,[],9,,0,,False
pilot-42,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]}",64,always_true,64,[2],0,,,,False
pilot-42,1,"{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":26967}",64,separates,28,[],36,,4,,False
pilot-42,2,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",64,always_true,64,[0],0,,,,False
pilot-43,0,"{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""6008"",""6009""]}",64,always_true,64,[1],0,,,0,False
pilot-43,1,"{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}",64,always_true,64,[0],0,,,,False
pilot-44,0,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29607}",25,separates,16,[],7,,7,,False
pilot-44,1,"{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":33483}",25,separates,16,[],7,,7,,False
pilot-45,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",256,always_true,256,[],0,0,,,False
pilot-45,1,"{""direction"":""return"",""requirement"":""earliest_departure"",""target"":32586}",256,separates,204,[],52,204,20,,False
pilot-46,0,"{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""bus""]}",64,always_false,0,[],64,,,,False
pilot-47,0,"{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}",25,always_true,25,[],0,,,,False
pilot-47,1,"{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29479}",25,separates,16,[],9,,7,,False
