scenario_id,request,reference,review_status,reviewer,correction
g01-timing-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g01-negation-p0,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g01-negation-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g01-visits-p0,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Call at stop 7642 and then stop 7634, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7642"",""7634""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g01-visits-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Call at stop 7642 and then stop 7634, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7642"",""7634""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g01-infeasible-p0,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g01-infeasible-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g01-scope-p0,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Also plan a return segment from 300 Block SW Lincoln [stop_id=3397] to SE Milwaukie & Powell [stop_id=10472] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g01-scope-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to 300 Block SW Lincoln [stop_id=3397]. Also plan a return segment from 300 Block SW Lincoln [stop_id=3397] to SE Milwaukie & Powell [stop_id=10472] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g02-timing-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g02-timing-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g02-negation-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g02-negation-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g02-visits-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Call at stop 10491 and then stop 3397, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""10491"",""3397""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g02-visits-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Call at stop 10491 and then stop 3397, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""10491"",""3397""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g02-infeasible-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g02-infeasible-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g02-scope-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Also plan a return segment from South Waterfront/S Moody [stop_id=13732] to SE Milwaukie & Powell [stop_id=10472] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g02-scope-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Columbia [stop_id=7594] to South Waterfront/S Moody [stop_id=13732]. Also plan a return segment from South Waterfront/S Moody [stop_id=13732] to SE Milwaukie & Powell [stop_id=10472] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g03-timing-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g03-timing-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g03-negation-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g03-negation-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g03-visits-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Call at stop 7594 and then stop 10491, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7594"",""10491""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g03-visits-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Call at stop 7594 and then stop 10491, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""7594"",""10491""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g03-infeasible-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g03-infeasible-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g03-scope-p0,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Also plan a return segment from OMSI/SE Water [stop_id=13772] to SE Milwaukie & Powell [stop_id=10472] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g03-scope-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to OMSI/SE Water [stop_id=13772]. Also plan a return segment from OMSI/SE Water [stop_id=13772] to SE Milwaukie & Powell [stop_id=10472] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g04-timing-p0,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g04-timing-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g04-negation-p0,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g04-negation-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g04-visits-p0,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Call at stop 3398 and then stop 13780, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""3398"",""13780""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g04-visits-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Call at stop 3398 and then stop 13780, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""3398"",""13780""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g04-infeasible-p0,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g04-infeasible-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g04-scope-p0,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Also plan a return segment from SW 6th & W Burnside [stop_id=7751] to NE Weidler & 15th [stop_id=10425] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g04-scope-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to SW 6th & W Burnside [stop_id=7751]. Also plan a return segment from SW 6th & W Burnside [stop_id=7751] to NE Weidler & 15th [stop_id=10425] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g05-timing-p0,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g05-timing-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Depart no earlier than 07:30:00 and arrive by 08:15:00, inclusive. Make at most one transfer.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27000},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":29700},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",provisional_unaudited,,
g05-negation-p0,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g05-negation-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Do not use rail or tram. Do not depart before 07:45:00. Make no transfers.","{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":27900},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",provisional_unaudited,,
g05-visits-p0,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Call at stop 13773 and then stop 13733, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""13773"",""13733""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g05-visits-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Call at stop 13773 and then stop 13733, in that order; remaining aboard counts. Use only buses.","{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""13773"",""13733""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",provisional_unaudited,,
g05-infeasible-p0,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g05-infeasible-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Depart no earlier than 08:30:00 and arrive by 08:00:00.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",provisional_unaudited,,
g05-scope-p0,"On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Also plan a return segment from SW Lincoln & 1st [stop_id=3398] to NE Weidler & 15th [stop_id=10425] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
g05-scope-p1,"Please find scheduled transport for this request. On 2026-09-14, plan the outbound journey from SE 7th & Tilikum Way [stop_id=13825] to SW Lincoln & 1st [stop_id=3398]. Also plan a return segment from SW Lincoln & 1st [stop_id=3398] to NE Weidler & 15th [stop_id=10425] after 09:00:00. I handle any movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make no transfers. On the return segment, depart no earlier than 09:15:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":33300}]}",provisional_unaudited,,
